Model,Threshold_Type,Metric,Mean,Std,Median,Min,Max
Logistic Regression,Threshold_0.5,Accuracy,0.8372218289373815,0.15116258872211663,0.8329256360078278,0.36584789796882383,0.9992733731632488
Logistic Regression,Threshold_0.5,Balanced Accuracy,0.7506713236138327,0.17696821830377574,0.6870243531202436,0.5,0.9983480176211454
Logistic Regression,Threshold_0.5,Precision,0.7693810083024595,0.31419369643720746,0.9778278842540399,0.0,1.0
Logistic Regression,Threshold_0.5,Recall,0.5963547244131395,0.3763294628353101,0.5651865008880995,0.0,1.0
Logistic Regression,Threshold_0.5,Specificity,0.9049879228145165,0.21014046621154103,0.9966894268570143,0.17486170866625603,0.9999999999999902
Logistic Regression,Threshold_0.5,F1,0.5816075754998168,0.3102741326331819,0.5444475214621989,0.0,0.9983452840595698
Logistic Regression,Threshold_0.5,ROC-AUC,0.9193990509475085,0.11634396401391134,0.9816023669853684,0.6517238380637345,1.0
Logistic Regression,Threshold_0.5,PR-AUC,0.8443214458560598,0.2037165968375637,0.9620796750452444,0.42119685983059396,1.0
Logistic Regression,Threshold_Val,Accuracy,0.5577892802180935,0.25319652927679975,0.5605395741914513,0.21645437795401745,0.9902982681205901
Logistic Regression,Threshold_Val,Balanced Accuracy,0.6441386800879549,0.1360738302472449,0.5834131800276802,0.500204394481349,0.9912042629092999
Logistic Regression,Threshold_Val,Precision,0.4863069896117126,0.30935463669267893,0.32803180914512925,0.21620322141197212,1.0
Logistic Regression,Threshold_Val,Recall,0.799447389579146,0.3282962864889676,0.9961158192090396,0.12992424242424241,1.0
Logistic Regression,Threshold_Val,Specificity,0.48882997059675865,0.38462564290664053,0.44051313883715665,0.00040878896269800296,0.9999999999999896
Logistic Regression,Threshold_Val,F1,0.4605384274546847,0.1785789948529676,0.3981292019877229,0.22996982903117666,0.9773365798838733
Logistic Regression,Threshold_Val,ROC-AUC,0.9193990509475085,0.11634396401391134,0.9816023669853684,0.6517238380637345,1.0
Logistic Regression,Threshold_Val,PR-AUC,0.8443214458560598,0.2037165968375637,0.9620796750452444,0.42119685983059396,1.0
Random Forest,Threshold_0.5,Accuracy,0.8397198407693881,0.10451965828853502,0.8435694238071653,0.5414108014485908,1.0
Random Forest,Threshold_0.5,Balanced Accuracy,0.7234161260149929,0.17303979804110486,0.6808617028930598,0.49941124521636737,1.0
Random Forest,Threshold_0.5,Precision,0.7694290226612587,0.2928751549385079,0.895500725689405,0.0,1.0
Random Forest,Threshold_0.5,Recall,0.5170165045653689,0.39329322342582734,0.36174242424242425,0.0,1.0
Random Forest,Threshold_0.5,Specificity,0.9298157474646073,0.1491386135331807,0.9925093632958698,0.40329850440483306,0.9999999999999898
Random Forest,Threshold_0.5,F1,0.5167206170699316,0.3060434442272945,0.5023494233233661,0.0,1.0
Random Forest,Threshold_0.5,ROC-AUC,0.9151019544245526,0.10830742651366544,0.9438757034583046,0.6015859369132712,1.0
Random Forest,Threshold_0.5,PR-AUC,0.8100106572826457,0.20099464566772043,0.8704856379174881,0.35392472860082236,1.0
